,Golem,Northeastern,Hibikino-Musashi@Home DSPL,UChile Homebreakers,SPQReL,University of California San Diego,Duckers,Austin Villa,UChile Peppers,Triton UC San Diego,"JSK@Home, DSPL",WrightEagle,AUPAIR,TechUnited,WalkingMachine
Services,,,,,,,,,,,,,,,
Rospeex,,,x,,,,x,,,,,,,,
Google Speech API: https://cloud.google.com/speech/,,,,x,x,,,,x,x,x,,x,,x
Microsoft Cognitive Services: https://azure.microsoft.com/en-us/services/cognitive-services/,x,,,,,,,,,,,x,,,
Google Cloud SDK,,x,,,,,,,,,,,,,x
Web Speech API (https://dvcs.w3.org/hg/speech-api/raw-file/tip/speechapi.html),,,x,,,,,,,,,,,,
IBM Watson Speech To Text: https://www.ibm.com/watson/developercloud/speech-to-text.html,,,x,,,,,,,,,,,,
SkyBiometory: https://skybiometry.com/,,,x,,,,,,,,,,,x,
Microsoft Face API: https://azure.microsoft.com/en-us/services/cognitive-services/face/,,,,,x,,,,,,,,,,
https://luis.ai/,,,,,,,,,,,x,,,,
KALDI http://kaldi-asr.org ,,,,,,,x,,,,,,,,
www.wit.ai,,,,,,,,,,,x,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Libraries,,,,,,,,,,,,,,,
OpenPose: https://github.com/CMU-Perceptual-Computing-Lab/openpose,,,x,,,,,x,,,,x,,x,
Tensorflow: https://www.tensorflow.org/,,,x,,,,,,,,,,,x,
Chainer: https://chainer.org/,,,x,,,,,,,,,,,,
https://github.com/SheffieldML/GPy,,,x,,,,,,,,,,,,
Caffe: http://caffe.berkeleyvision.org/,,,x,,,,,,,,,,,,
Julius,,,,,,,,,,,x,,,,
OpenFace,,,,,,,,,,,,,,x,
,,,,,,,,,,,,,,,
Compute resources,,,,,,,,,,,,,,,
"External, local computer (General)",,x,,,x,,x,,x,,x,,x,,
AWS GPUs,,,,,,x,,,,,,,,,
External Jetson TK1,,,,,,,,x,,,,,,,
